Link,Newspaper,Photo YN,Front page YN,Date,Title,Author,Notes,Word Count,Text
https://library.brown.edu/pdfs/BDH_1968_04_23.pdf,Brown Daily Herald,N,Y,4/23/68,Spring Boycott: Whither the Faculty?,"Terry Schwadron, Peter Warren",,576,"A balmy, sunny Friday afternoon, the beginning of Spring Weekend. So who's going to class anyway? But the concerned never sleep. Those damn activists have scheduled an International Student Strike of classes for one day that no one is planning to attend class anyway. So much the better. I can sleep late without fear of being marked absent. Or can I? Members of the faculty may react negatively to the use of such a boycott of class to express student concern about ""issues facing the world community,"" and to define "" the role of national liberation movements."" As Anthony Molho, history professor commented, ""I'm personally fairly sympathetic to the thinking behind such a strike, though I'm not sure that I agree with holding a strike; their sentiments could probably be expressed better otherwise."" Professor Edward Honig, chairman of the English department, outline the dilemma facing him: ""I would be in sympathy with such a strike. It's a conflict between two things--personal conscience and as an administrator. With regard to the latter, I wouldn't penalize a student who participated."" His sentiments were echoed in part by C. Peter Magrath, political science professor, who said when asked about the possibility of non-attendance at Friday's classes, ""I'm not particularly in favor of it [the strike] but I won't penalize anyone who isn't there."" The announced plans of the established Ad Hoc committee which is coordinating activities at Brown in conjunction with the International Strike call for workshops and seminars to take place in the morning with a mass speak-out/teach-in scheduled for the afternoon. Boycotting of classes is a voluntary action, according to the Ad Hoc committee, although spokesmen for the group stressed that they would not encourage striking of classes just for the sake of cutting class (BDH 4/16). Some schools have reportedly cancelled classes, although Columbia has scheduled a mass rally for noontime and is discouraging the boycotting of classes. According to representatives of the Columbia Spectator, some professions will call off classes but otherwise normal attendance at classes is expected. The Moratorium Coalition which sponsored a March 13 boycott of classes to protest the War asked the students not to cut their classes. Joel Kramer, president of the Harvard Crimson, reported to the Herald, ""Absolutely nothing is being done at Harvard about the boycott. We'll be holding classes and expect full attendance. the boycott is just not being talked about at Harvard at all."" Dean Gordon R. Dewart was unaware that there would be a boycott and thought that only a teach-in was planned. ""There is no university policy on the boycott,"" he said, "" and those who use up permitted cuts will not be excused."" Several faculty members showed concern about the completion of planned work before clearing the way for legal non-attendance of classes. Dr. Jonathan P. Green, teacher of Biology II, who is administering an hour examination in that course this Friday, thought that the boycott was cancelled because a marked absence could point up the proximity of Spring Weekend and not the conviction of the absentees. He is now, however, ""considering alternatives"" but has ""reached no decision."" Some faculty members seemed almost indignant at the idea of boycotting classes for such a cause. Sociology professor C. P. Wolf told the Herald he was ""apathetic,"" and ""would be in the country"" as he had no classes scheduled. When asked if he would cancel classes if he had one scheduled, he replied, ""Certainly not."""
https://library.brown.edu/pdfs/BDH_1968_04_30.pdf,Brown Daily Herald,Y,Y,4/30/68,Violence Rages at Columbia,"James Baker, Steve Wolinsky",,654,"At Brown students slept through their Friday morning classes in observance of the International Student Strike. At Yale a group of stalwart naturalists guarded two trees on the Cross Campus to block their removal by bulldozers who were landscaping the area for an extension of a library. Columbia University in New York City, however, experienced something more than the weekend activism students have come to expect on this campus. aLte Friday afternoon as 700 demonstrators defied police and administrators at Columbia by refusing to relinquish their hold on five campus buildings, city policemen sealed off the university and occupied those buildings which had not already been taken over by student protestors. At 1:50 p.m., H. Rapp Brown and Stokely Carmichael suddenly appeared on the steps of Hamilton Hall where Negro activists had held captive for 23 hours Henry S. Coleman, Acting Dean of the College. Brown declared that the demonstrators, who were ""fighting against the racist policies of this university"" were to be joined by local Negroes who would ""deal with Columbia University. . . ."" A short time later Grayson Kirk, President of the University, ordered police to take action to clear the occupied buildings. The police moved in on Low Library and began pushing and clubbing the members of the faculty who had positioned themselves in front of that building to prevent the forcible eviction of the demonstrating students within. After the injury of one teacher required his hospitalization, a faculty delegation prevailed upon President Kirk to call off the police. As of last night, students were still in control of Hamilton Hall, and four other buildings, including the President's office in the Low Library, where they had apparently photographed his correspondence with the Institute for Defense Analysis. By Saturday, police had stopped demonstrators from moving freely in and out of the buildings they held although provisions and messages from outside were still allowed to reach them. On Tuesday, April 23, the Students for a Democratic Society (SDS) and the Columbia Student Afro-American Society called for the strike against the university administration which led to the seizure of parts of the campus. Paul Rockwell, an SDS member, said Wednesday night that the strike had been ""forced"" by the university's refusal to respond to the earlier, peacefully-articulated demands of the two groups. The group of protesting students, whose number had grown to 600 by yesterday afternoon, cite as their primary grievance the plans to construct a new gymnasium in Morningside Park -- a predominantly Negro residential area. This policy as been interpreted by the SDS and Afro-American Society as representing a ""racist encroachment"" on the Harlem Community on the part of Columbia. The scope of the students' demands has widened considerably after a full week of direct confrontation between the protesters and the university. Included are the following: _æ¢ The university must halt construction of the gymnasium in Morningside Park; _æ¢ The university must end its association with the Institute for Defense Analysis -- a consortium of twelve universities working in conjunction with the government; _æ¢ The university must lift its ban on indoor demonstrations; _æ¢ The university must end the prohibition imposed on six students involved in an earlier anti-IDA demonstration; _æ¢ The university must grant amnesty to all students taking part in the current demonstrations. Although President Kirk, in a conciliatory gesture, announced that work on the construction of the gymnasium had been temporarily halted following a request by Mayor Lindsay, Dr. Kirk has been firm in his refusal to surrender the disciplinary powers of his office to a committee of students, faculty, and administrators which could lead to a general amnesty. Last night the deadlock continued as the Ad Hoc Faculty Committee rejected a peace plan proposed by Dr. Kirk. The situation was comparatively quiet yesterday, except for a brief clash which occurred as demonstrators tried to smash their way through a wall of students who had lined up outside in opposition to the SDS."
https://library.brown.edu/pdfs/BDH_1968_05_01.pdf,Brown Daily Herald,N,Y,5/1/68,Police Called at Columbia Protestors Out of Building,Jeffrey Blumenfeld,,740,"Violence on the Columbia University campus reached new levels yesterday as the police, called in by President Grayson Kirk, descended on the demonstrators at about 3:00 a.m., and managed in two hours with frequent use of force, to clear them from the buildings which they had been occupying for six days. As of late yesterday afternoon, the Columbia Spectator said, police reported approximately 620 students arrested. Jeff Arsham, a staff member of the Spectator, confirmed that about 135 students have been treated for injuries, moistly head and face wounds, resulting from police clubs and black jacks. NO CLUBS, BLACKJACKS The administration, calling in the police, gave instruction that no clubs were to be taken into University buildings; however, allowed to take blackjacks with them as they forced their away into the buildings to evict the students. A spokesman for the demonstrators reported that there had been some vandalism of President Kirk's office when it was first entered by the students last week, but they had since made efforts to clean up the room. Another spokesman for the Spectator, who asked to remain anonymous, asserted that police had used axes and crowbars to force their way into the Presidential offices. EXTENT OF FORCE Mr. Arsham, speaking from incidents he had witnessed, felt that there were ""many instances where the police were using unprovoked force, to an extent totally unnecessary to get the job done."" In describing demonstrators' reactions to the police as ""varied,' Mr. Arsham noted that some students merely walked out of the buildings when asked, and were not arrested, while others resisted non-violently, being dragged out, and still others fought back. Those who fought the police, he said, met with respondent force, and were charged with resisting arrest. At 2:00 p.m. yesterday, the Ad Hoc Faculty Committee, which Monday night rejected a peace plan proposed by President Kirk, released a resolution condemning the administration_æ_s handling of the situation, charging that the administration had been as intransigent as the students in its actions. The Ad Hoc Committee gave the administration oa ""no vote of confidence, "" and called for the resignation of President Kirk. During the Ad Hoc Committee deliberations, according to the accounts of Mr. Arsham, who witnessed the incident, there was a crowd of three to four hundred students outside the room in which the meeting was taking place, demonstrating in favor of the committee and calling for President Kirk's resignation. GENERAL STRIKE CALLED Van Pellegrom, Columbia Student Council president, also called for the resignation of President Kirk, and, in addition, for a general student strike. (Since yesterday's classes had been called off, there were few students, aside from the demonstrators, on the campus, and so student reaction to the strike call has been difficult to estimate.) Police continue to occupy the campus, and are guarding all gates, as they have been for the past four days, barring entrance to all but campus residents. Both spokesmen for the Spectator described the campus as ""under a state of seige."" An Associated Press story, widely circulated in yesterday's late papers, noted that a crowd of approximately 2,000 bystanders gathered during the early morning police action, and went on to note that ""police used nightsticks freely in breaking up the large crowd."" It was also stated in the AP story that ""they bystanders clashed with police after the last of the demonstrators had been taken away."" TRUSTEES: 'DEAL FIRMLY' The Columbia Board of Trustees, which has been consistently urging President Kirk to deal firmly with the demonstrators, and which may well have been as influential as the mass-media-aroused public opinion, according to the Spectator spokesman, in convincing him to call in the police, had made no official comment on the incident as of late yesterday afternoon. A similar quiet proceeded from the President. Mr. Arsham stated that, before police were called in, the majority of student opinion seemed to be running against the demonstrators as they continued to occupy the five campus buildings and to reject various administration proposals for a solution. He felt, however, that ""the use of police force has alienated many of the students who would have supported the administration."" Spectator spokesmen replied with a ""no comment"" when queried about widely-circulated news accounts which claimed that students had photographed President Kirk's correspondence with the Institute for defense Analysis. There was no official announcement, as of late yesterday, with regard to punitive measures to be taken by the administration."
https://library.brown.edu/pdfs/BDH_1968_05_01.pdf,Brown Daily Herald,N,N,5/1/68,Disorder at Columbia,None listed,,336,"During the past week violence has raged on the Columbia University campus. Some would contend that the form of proÇ_test chosen by the student demonstrators was necessitated by the administration_æ_s unwillingness to listen to reason, and that the riots have raised issues which would not otherwise have received as much attention. While this may be true, the methodolgy of the protesters is not to be condoned. Civil disobedience has its place, and at times it is necessary, but it must always be accompanied by a willingness to accept punishment. Many of the civil disobedients at Columbia, as evidenced by their recent unreasonableness, their almost gratuitous rejection of all attempts at recÇ_onciliation, and their non-pacific resistÇ_ance to arrest, have shown themselves unÇ_willing to accept the consequences of their disobedience. In addition, there is a point beyond which a protest demonstration passes into wanton invasion and destruction of priÇ_vate property. While those involved may argue that their actions were justified by previous and continuing inequities, such actions serve only to alienate those sympathetic with the stated goals yet antipaÇ_thetic to the chosen course. The protesters who, as of late MonÇ_day night, still retained control of the five seized buildings were judged unreasonable by a growing number of their fellow stuÇ_dents, who felt that they had crossed from justified civil disobedience into gratuitous lawlessness. Their refusal to relinquish control left the administration with no choice, in face of growing pressure from the trustees and the public, but to call in the police. The summoning of policemen to deal with civil disorder, as proven by last sumÇ_mer_æ_s riots as well as by the Columbia incident, necessarily precipitates a degree of unprovoked and unnecessary violence. Even with adequate training in operations of this nature, policemen cannot reasonÇ_ably be expected to be able to estimate and use only that degree of force deemed _æ_proper,_æ a moot point in itself. Yet deÇ_spite the difficulties and reality of the situation, the violence exhibited by the police yesterday morning is also not to be condoned."
https://library.brown.edu/pdfs/BDH_1968_05_01.pdf,Brown Daily Herald,N,N,5/1/68,Order at Brown,None listed,,439,"Incidents such as the state of seige curÇ_rently in existence on the Columbia campus prompt serious consideration of the administration-student relationship at Brown. And Brown shows up well in this light. While there has been in the past _æ and no doubt will be in the future _æ critiÇ_cism of the _æ_lack of communication,_æ much of which has been and will be jusÇ_tified, there is also much at Brown to be commended. While there are problems on this campus which should not be overÇ_looked, Brown is, to a commendable exÇ_tent, a forward-looking institution. One of the precipitating factors in the Columbia demonstrations was a demand from the students for revision of a disciÇ_plinary system which was felt to be authÇ_oritarian. The same issue was raised on the Brown campus, and discussed in these pages, last year. The response from the administration, and the reaction by the student body, were, however, quite differÇ_ent. President Heffner_æ_s appointment of the Magrath Committee, and the commitÇ_tee_æ_s subsequent efforts, resulted in a sysÇ_tem for dealing with disciplinary cases which, in theory at least, signaled a signifÇ_icant advance. For the past several weeks, the ad hoc committee on Negro educational policy at Harvard has been pressing for the perÇ_manent addition to the Harvard curricuÇ_lum of courses in Negro history. Several times, the group has submitted lists of demands to the administration, and each time the demands have been rejected, only to be revised and resubmitted. At present, the negotiations on the question are at a stand-still. Brown_æ_s history department, in response to internal discussion as well as to a request from the Afro-American Society, began deliberations on this topic in February, resulting in a proposal to the Curriculum Committee in March, and, last week, the approval by the committee of the addition of History 166 to the curÇ_riculum. The exchange was conducted as reasoned discussion between two conÇ_cerned parties rather than through the submission and rejection of ultimatums. Not all of Brown_æ_s problems have been solved. But the progress just discussed inÇ_dicates that there is a methodology for the discussion of problems on this campus which is thankfully more rational, and certainly more effective, than the methodÇ_ology recently tried at Columbia, and elseÇ_where. Rational discussion and reasoned deÇ_bate, through the willingness of the adÇ_ministration to discuss problems and through the willingness of the students to trust the discussion process, have earned a place in administration-student dealings which is well-deserved and much to be adÇ_mired. This process is at times slow-movÇ_ing, at times frustrating, and always diffiÇ_cult. But recent advances on this campus have shown that it is the most desirable, and a most effective, process for change."
http://theprince.princeton.edu/princetonperiodicals/cgi-bin/princetonperiodicals?a=d&d=Princetonian19680422-01.2.27&srpos=146&e=------196-en-20-Princetonian-141-byDA-txt-txIN-columbia----1968--,Daily Princetonian,N,N,4/22/68,News Brief,None listed,,57,"A greater decision-making role for Columbia students was urged by a 15-member advisory committee of students, faculty and administration representatives. The report recommended a director of student affairs, a student-faculty-administration committee on student affairs and a judicial body to rule on student disciplinary issues be created. Our student members called the offers ""too little and too late."""
http://theprince.princeton.edu/princetonperiodicals/cgi-bin/princetonperiodicals?a=d&d=Princetonian19680424-01.2.23&srpos=151&e=------196-en-20-Princetonian-141-byDA-txt-txIN-columbia----1968--,Daily Princetonian,N,N,4/24/68,News Brief,None listed,,52,"Columbia University President Grayson Kirk has said he believed that the other universities connected with the Institute for Defense Analyses would follow Columbia's lead in seeking ""institutional disaffiliation"" from IDA. From now on, a senior officer of the university will serve on the IDA board of trustees but official affiliation will end."
http://theprince.princeton.edu/princetonperiodicals/cgi-bin/princetonperiodicals?a=d&d=Princetonian19680425-01.2.14&srpos=152&e=------196-en-20-Princetonian-141-byDA-txt-txIN-columbia----1968--,Daily Princetonian,N,N,4/25/68,Headline Highlights,None listed,Highlight from AP,22,NEW YORK_æ Columbia University's campus was all but sealed off yesterday after several hundred rampaging student demonstrators seized control of two buildings.
http://theprince.princeton.edu/princetonperiodicals/cgi-bin/princetonperiodicals?a=d&d=Princetonian19680426-01.2.15&srpos=154&e=------196-en-20-Princetonian-141-byDA-txt-txIN-columbia----1968--,Daily Princetonian,N,N,4/26/68,Headline Highlights,None listed,Highlight from AP,51,"TODAY'S QUOTE_æ""I personally have no intention of seeing 2,500 students at Columbia college let down because of the actions of 200."" (Dean Henry Coleman after being released from 2A hours of captivity by Columbia students told a crowd of non-demonstrating students that there will be no amnesty for the protesters.) "
http://theprince.princeton.edu/princetonperiodicals/cgi-bin/princetonperiodicals?a=d&d=Princetonian19680426-01.2.8&srpos=153&e=------196-en-20-Princetonian-141-byDA-txt-txIN-columbia----1968--,Daily Princetonian,N,Y,4/26/68,Columbia students protest new gym,None listed,,79,"Several hundred black and white student militants widened their beachhead at Columbia University's campus to four buildings yesterday. An estimated 2,500 of Columbia's 10,000 day students were barred from classes by the demonstrators, who held three classroom buildings and President Grayson Kirk's office. Dean Henry Coleman, one of three Columbia officials held captive for 24 hours earlier in the demonstration, told a cheering meeting of 350 non-demonstrators that there will be no amnesty, as demanded by the protesting group."
