Word,Frequency,School
classes,17,Brown
brown,9,Brown
spectator,7,Brown
boycott,7,Brown
hoc,7,Brown
afternoon,6,Brown
must,6,Brown
call,6,Brown
friday,5,Brown
scheduled,5,Brown
much,5,Brown
asked,5,Brown
Arsham ,5,Brown
however,5,Brown
discussion,5,Brown
class,4,Brown
professor,4,Brown
history,4,Brown
may,4,Brown
place,4,Brown
power,16,Cornell
sit,14,Cornell
cornell,14,Cornell
college,12,Cornell
negro,11,Cornell
reported,10,Cornell
society,10,Cornell
demonstrations,9,Cornell
siege,9,Cornell
disciplinary,8,Cornell
daily,8,Cornell
booth,7,Cornell
ferris,7,Cornell
sun,7,Cornell
liberal,11,Harvard
activists,10,Harvard
first,7,Harvard
commission,7,Harvard
met,6,Harvard
park,10,Penn
involved,10,Penn
trustees,8,Penn
issue,7,Penn
wednesday,6,Penn
blacks,6,Penn
fun,5,Penn
tuesday,5,Penn
morningside,5,Penn
whites,5,Penn
interests,4,Penn
necessary,4,Penn
protesters,40,Princeton
mr,21,Princeton
princeton,20,Princeton
around,19,Princeton
outside,16,Princeton
left,12,Princeton
fayerweather,11,Princeton
grayson,10,Princeton
control,10,Princeton
three,10,Princeton
windows,10,Princeton
majority,9,Princeton
support,7,Yale
arrested,5,Yale
news,5,Yale
occupied,5,Yale
defense,5,Yale
including,5,Yale
today,5,Yale
